L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V3_MAE_Acc,Scenario
20%,1,75,1C x 75K,40%,1,30,1C x 30K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,40%,1,30,1C x 30K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,40%,1,30,1C x 30K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,40%,1,30,1C x 30K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,60%,1,45,1C x 45K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,60%,1,45,1C x 45K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,60%,1,45,1C x 45K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,60%,1,45,1C x 45K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,60%,1,45,1C x 45K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,60%,1,45,1C x 45K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,80%,1,60,1C x 60K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,80%,1,60,1C x 60K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,80%,1,60,1C x 60K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,80%,1,60,1C x 60K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,80%,1,60,1C x 60K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,80%,1,60,1C x 60K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,100%,1,75,1C x 75K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,100%,1,75,1C x 75K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,100%,1,75,1C x 75K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,100%,1,75,1C x 75K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,100%,1,75,1C x 75K,0.0,100.0,Custom_Simulation
20%,1,75,1C x 75K,100%,1,75,1C x 75K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,20%,5,6,5C x 6K,0.0,0.0,Custom_Simulation
40%,5,30,5C x 30K,20%,3,10,3C x 10K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,20%,2,15,2C x 15K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,20%,1,21,1C x 21K,0.0,0.0,Custom_Simulation
40%,5,30,5C x 30K,20%,1,26,1C x 26K,0.0,0.0,Custom_Simulation
40%,5,30,5C x 30K,20%,1,30,1C x 30K,0.0,0.0,Custom_Simulation
40%,5,30,5C x 30K,40%,5,12,5C x 12K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,40%,4,15,4C x 15K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,40%,3,19,3C x 19K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,40%,3,23,3C x 23K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,40%,2,27,2C x 27K,0.0,100.0,Custom_Simulation
