Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L2_Budget_Pct,L2_Label,Target_Percentile,V1_MAE_Acc,V3_MAE_Acc
Height,0,0.7,25C_x_10K,0.4,10C_x_10K,70%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,10C_x_10K,80%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,10C_x_10K,90%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,10C_x_10K,100%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,11C_x_9K,10%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,11C_x_9K,20%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,11C_x_9K,30%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,11C_x_9K,40%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,11C_x_9K,50%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,11C_x_9K,60%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,11C_x_9K,70%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,11C_x_9K,80%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,11C_x_9K,90%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,11C_x_9K,100%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,20C_x_5K,10%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,20C_x_5K,20%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,20C_x_5K,30%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,20C_x_5K,40%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,20C_x_5K,50%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,20C_x_5K,60%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,20C_x_5K,70%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,20C_x_5K,80%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,20C_x_5K,90%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,20C_x_5K,100%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,25C_x_4K,10%,0.0,0.0
Height,0,0.7,25C_x_10K,0.4,25C_x_4K,20%,0.0,0.0
Height,0,0.7,25C_x_10K,0.4,25C_x_4K,30%,0.0,0.0
Height,0,0.7,25C_x_10K,0.4,25C_x_4K,40%,0.0,0.0
Height,0,0.7,25C_x_10K,0.4,25C_x_4K,50%,0.0,0.0
Height,0,0.7,25C_x_10K,0.4,25C_x_4K,60%,0.0,0.0
Height,0,0.7,25C_x_10K,0.4,25C_x_4K,70%,0.0,0.0
Height,0,0.7,25C_x_10K,0.4,25C_x_4K,80%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,25C_x_4K,90%,100.0,100.0
Height,0,0.7,25C_x_10K,0.4,25C_x_4K,100%,100.0,100.0
Height,0,0.7,25C_x_10K,0.5,14C_x_9K,10%,100.0,100.0
Height,0,0.7,25C_x_10K,0.5,14C_x_9K,20%,100.0,100.0
Height,0,0.7,25C_x_10K,0.5,14C_x_9K,30%,100.0,100.0
Height,0,0.7,25C_x_10K,0.5,14C_x_9K,40%,100.0,100.0
Height,0,0.7,25C_x_10K,0.5,14C_x_9K,50%,100.0,100.0
Height,0,0.7,25C_x_10K,0.5,14C_x_9K,60%,100.0,100.0
Height,0,0.7,25C_x_10K,0.5,14C_x_9K,70%,100.0,100.0
Height,0,0.7,25C_x_10K,0.5,14C_x_9K,80%,100.0,100.0
Height,0,0.7,25C_x_10K,0.5,14C_x_9K,90%,100.0,100.0
Height,0,0.7,25C_x_10K,0.5,14C_x_9K,100%,100.0,100.0
Height,0,0.7,25C_x_10K,0.5,18C_x_7K,10%,100.0,100.0
Height,0,0.7,25C_x_10K,0.5,18C_x_7K,20%,100.0,100.0
Height,0,0.7,25C_x_10K,0.5,18C_x_7K,30%,100.0,100.0
Height,0,0.7,25C_x_10K,0.5,18C_x_7K,40%,100.0,100.0
Height,0,0.7,25C_x_10K,0.5,18C_x_7K,50%,100.0,100.0
Height,0,0.7,25C_x_10K,0.5,18C_x_7K,60%,100.0,100.0
