Indicator,L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V2_MAE_Acc,V3_MAE_Acc,Scenario
Height,100%,1,75,1C x 75K,40%,1,30,1C x 30K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,40%,1,30,1C x 30K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,40%,1,30,1C x 30K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,50%,1,37,1C x 37K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,50%,1,37,1C x 37K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,50%,1,37,1C x 37K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,50%,1,37,1C x 37K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,50%,1,37,1C x 37K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,50%,1,37,1C x 37K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,60%,1,45,1C x 45K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,60%,1,45,1C x 45K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,60%,1,45,1C x 45K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,60%,1,45,1C x 45K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,60%,1,45,1C x 45K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,60%,1,45,1C x 45K,0.0,33.33333333333333,100.0,Custom_Simulation
Height,100%,1,75,1C x 75K,70%,1,52,1C x 52K,0.0,33.33333333333333,100.0,Custom_Simulation
