Universe,Indicator,Sim_ID,L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V1_MAE_Std,V1_RMSE_Acc,V1_P90_Acc,V2_MAE_Acc,V2_MAE_Std,V2_RMSE_Acc,V2_P90_Acc,V3_MAE_Acc,V3_MAE_Std,V3_RMSE_Acc,V3_P90_Acc,Scenario,Rho_Model,Target_Percentile
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,90%,24,14,24C x 14K,10%,17,2,17C x 2K,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,90%,24,14,24C x 14K,10%,3,11,3C x 11K,100.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,90%,24,14,24C x 14K,10%,5,7,5C x 7K,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,90%,24,14,24C x 14K,10%,7,5,7C x 5K,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,90%,24,14,24C x 14K,20%,11,6,11C x 6K,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,90%,24,14,24C x 14K,20%,17,4,17C x 4K,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,90%,24,14,24C x 14K,20%,22,3,22C x 3K,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,90%,24,14,24C x 14K,20%,6,11,6C x 11K,100.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,90%,24,14,24C x 14K,30%,10,10,10C x 10K,100.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,100.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
49c6f74c-bb69-4a1b-89a3-db3735e091fa (rho=0.0),Height,0,90%,24,14,24C x 14K,30%,11,9,11C x 9K,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49c6f74c-bb69-4a1b-89a3-db3735e091fa,0.0,30%
