Universe,Indicator,Sim_ID,L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V1_MAE_Std,V1_RMSE_Acc,V1_P90_Acc,V2_MAE_Acc,V2_MAE_Std,V2_RMSE_Acc,V2_P90_Acc,V3_MAE_Acc,V3_MAE_Std,V3_RMSE_Acc,V3_P90_Acc,Scenario,Rho_Model
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,14,8,14C x 8K,60%,13,5,13C x 5K,53.333333333333336,0.0,0.0,0.0,55.00000000000001,0.0,0.0,0.0,53.333333333333336,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,14,8,14C x 8K,60%,8,8,8C x 8K,60.0,0.0,0.0,0.0,55.00000000000001,0.0,0.0,0.0,60.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,14,8,14C x 8K,70%,10,8,10C x 8K,60.0,0.0,0.0,0.0,55.00000000000001,0.0,0.0,0.0,60.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,14,8,14C x 8K,70%,13,6,13C x 6K,50.0,0.0,0.0,0.0,55.00000000000001,0.0,0.0,0.0,50.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,14,8,14C x 8K,80%,11,8,11C x 8K,56.666666666666664,0.0,0.0,0.0,55.00000000000001,0.0,0.0,0.0,56.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,14,8,14C x 8K,80%,13,7,13C x 7K,53.333333333333336,0.0,0.0,0.0,55.00000000000001,0.0,0.0,0.0,53.333333333333336,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,14,8,14C x 8K,90%,13,8,13C x 8K,56.666666666666664,0.0,0.0,0.0,55.00000000000001,0.0,0.0,0.0,56.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,14,8,14C x 8K,90%,14,7,14C x 7K,56.666666666666664,0.0,0.0,0.0,55.00000000000001,0.0,0.0,0.0,56.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,14,8,14C x 8K,100%,14,8,14C x 8K,30.0,0.0,0.0,0.0,22.857142857142858,0.0,0.0,0.0,30.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,7,15,7C x 15K,10%,1,10,1C x 10K,33.33333333333333,0.0,0.0,0.0,67.61904761904762,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,7,15,7C x 15K,10%,2,4,2C x 4K,40.0,0.0,0.0,0.0,67.61904761904762,0.0,0.0,0.0,40.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,7,15,7C x 15K,20%,1,15,1C x 15K,36.666666666666664,0.0,0.0,0.0,67.61904761904762,0.0,0.0,0.0,36.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,7,15,7C x 15K,20%,7,3,7C x 3K,36.666666666666664,0.0,0.0,0.0,67.61904761904762,0.0,0.0,0.0,36.666666666666664,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,7,15,7C x 15K,30%,2,15,2C x 15K,43.333333333333336,0.0,0.0,0.0,67.61904761904762,0.0,0.0,0.0,43.333333333333336,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,7,15,7C x 15K,30%,4,8,4C x 8K,50.0,0.0,0.0,0.0,67.61904761904762,0.0,0.0,0.0,50.0,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
Bad_L0_Bad_L1 (rho=0.0),Height,0,30%,7,15,7C x 15K,40%,3,15,3C x 15K,43.333333333333336,0.0,0.0,0.0,67.61904761904762,0.0,0.0,0.0,43.333333333333336,0.0,0.0,0.0,Bad_L0_Bad_L1,0.0
